,angle
0,55.84589208390535
1,57.5197080882582
2,58.54006992036491
3,57.94295993695381
4,57.24820605838577
5,56.53769078323917
6,56.13265172749362
7,56.342036038036156
8,56.19693636795255
9,55.88027363747871
10,55.67656724951396
11,55.527071109841714
12,55.564087898744184
13,55.45317013012775
14,55.137932413613385
15,54.81756313568254
16,54.34345487253376
17,53.93556810895924
18,53.269585223252946
19,52.28867835147996
20,52.07200808883271
21,51.66799493476502
22,50.9039118414326
23,50.58541141946137
24,50.8175584083711
25,51.183486577688385
26,51.17467970010847
27,50.82615725375357
28,50.658434242048855
29,50.42544516001613
30,50.47998241312488
31,50.69435854653178
32,50.6537591438173
33,50.79886368650527
34,51.39551219796192
35,51.82955991144301
36,51.91557699196716
37,52.13121327060649
38,52.33494369163004
39,52.346976458665765
40,52.22771011921828
41,52.30292479557327
42,52.30311002832194
43,52.32256455688719
44,52.40209102663969
45,52.361625267329046
46,52.39322469326618
47,52.287767443096776
48,52.44715193036144
49,53.41489971444324
50,53.19890651648228
51,52.91684177399396
52,52.23270696667041
53,51.78697465647799
54,50.901933233341616
55,51.98666155216414
56,53.63939987950432
57,53.904104572843856
58,53.48763294506356
59,53.50825907317834
60,52.92485997394051
61,52.583654154458465
62,52.496551543038976
63,52.10690400645747
64,51.62066062953022
65,49.966099319239724
66,48.49285075669442
67,48.25355821225297
68,48.01356642985869
69,48.94536304663345
70,49.39031079762726
71,49.6112570538125
72,49.975492290169385
73,50.044164759555414
74,49.97072275106144
75,50.6085982777099
76,50.90950761961137
77,49.86633998330898
78,50.34457300369939
79,51.128255944189114
80,53.289444260703725
81,53.388119846565374
82,52.26049849069267
83,51.64093446392367
84,50.87980931589275
85,50.621383565586385
86,50.45234320249033
87,51.16020904441541
88,52.8683033444734
89,54.48995798784003
90,56.90627895701208
91,57.752310745640884
92,59.14983552144393
93,60.97952686634353
94,61.420136830954654
95,63.08039871688122
96,63.338324521567685
97,62.61425990727096
98,61.16361571248217
99,61.24386544915107
100,59.09056754527653
101,56.99906438817051
102,54.662660490398544
103,51.6778413750805
104,49.81286935462129
105,48.51034871122799
106,48.50684660268663
107,49.65221216131749
108,49.939957606295536
109,52.177256621479565
110,53.00641845270927
111,59.008447353722836
112,61.562030783363156
113,61.89104507648427
114,64.71637138792731
115,59.28364600590248
116,49.75750333526731
117,44.72054285662214
118,40.35662635840528
119,37.69910870643784
120,36.51107114193095
121,37.00913308494425
122,37.35051886788072
123,37.57077058074442
124,38.26331136732524
125,39.18524662820391
126,38.498802342891366
127,37.81821264534552
128,36.34616005968009
129,35.327134339617686
130,35.23948231993393
131,34.374351599850364
132,33.71299920797866
133,33.523673716379975
134,33.73545326566492
135,34.138136609994625
136,34.703248787011574
137,35.209933157144484
138,36.36888731131769
139,38.1628297602426
140,40.49922993472104
141,42.812500792633514
142,44.53713149293308
143,47.08485753698395
144,50.052298222658685
145,50.71442955638848
146,52.447453074369946
147,52.96884005608571
148,52.75792931336424
149,53.18896470638916
150,53.668193767226356
151,53.744830841896125
152,53.890910759675954
153,53.87777455946136
154,54.117115248158946
155,54.376910875534094
156,53.33295187737848
157,53.226372466275755
158,54.23555665000942
159,53.877018844109465
160,50.7319369165819
161,50.413921209384654
162,48.903627886893226
163,41.79198967962257
164,37.62244190683469
165,35.48710965372163
166,34.02834786737069
167,32.820106390558564
168,36.10824488683092
169,40.12556356216369
170,43.889174226372106
171,47.566011754623844
172,49.257628937813365
173,50.43223151957648
174,51.37639514599272
175,52.76777528786949
176,53.43688417653391
177,53.93997366652069
178,52.73213593192246
179,47.092533448264454
180,42.50693295603998
181,44.35895775426386
182,44.23246150582639
183,47.083805080560225
184,51.14138272018103
185,53.91371558163606
186,57.08686052249589
187,60.20495009153056
188,63.98629484805938
189,63.48609611538012
190,60.96985720093937
191,60.50166312095614
192,59.05675829439363
193,60.89961038388553
194,56.56813216787296
195,50.44404582549375
196,47.68870182118851
197,47.983358654217504
198,48.791686556833966
199,47.95456265840461
200,48.528995872712834
201,49.87176201620159
202,49.72851489783483
203,49.532213415926186
204,49.73957337097846
205,48.776297873267744
