,features_of_metrics,S001C,S002C,S002I,S003I,S005I,S001S,S004S,S009S
217,angl_right_hips_mov_entropy,(5.723404262527833+0j),(5.723234814938292+0j),(5.723508046124194+0j),(5.703628554729207+0j),(5.72302161431179+0j),(5.722794149632558+0j),(5.703545522661168+0j),(5.703660414073167+0j)
218,angl_right_hips_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
219,angl_right_hips_mov_kurtosis,(-0.560839346792342+0j),(-0.6718992624238433+0j),(-0.8718732337715798+0j),(2.3863947511879484+0j),(4.031179202763241+0j),(6.5576521031708985+0j),(-0.2940884283864529+0j),(11.27295090331628+0j)
220,angl_right_hips_mov_skewness,(0.36836433882228276+0j),(0.7396446125310705+0j),(0.6247261015746437+0j),(-1.180667412657211+0j),(1.3841626903513071+0j),(2.0460162096926466+0j),(0.4672127308135954+0j),(-2.698519903396248+0j)
221,angl_right_hips_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
222,angl_right_hips_mov_maxFreqComp,(23461.937716425386-0j),(36452.23861749642-0j),(26702.029055525272-0j),(24482.993419239043-0j),(33140.93049213872-0j),(19569.51499703643-0j),(20418.971216781614-0j),(32036.50115351413-0j)
223,angl_right_hips_mov_meanFreq,(74.06059146934902+7.430512269386669e-16j),(123.81159574344515+0j),(85.39037621781745+9.288140336733336e-17j),(79.13632106944736+0j),(105.58822304556197-3.7152561346933344e-16j),(65.19020127494781+7.430512269386669e-16j),(69.7763673413749-3.789561257387201e-16j),(97.90567584218024+7.579122514774402e-16j)
224,angl_right_hips_mov_skewnessFreq,(17.40813511534265-1.667784918838488e-18j),(17.403577554604063+2.922750211998566e-19j),(17.404527796957144-4.494637640705226e-19j),(17.229967509043213+6.293107816449172e-19j),(17.414938042394514+5.931555293548479e-19j),(17.404692704550094-3.974253364206947e-18j),(17.23525491448037+9.674716157195035e-19j),(17.233541308607492-2.7076642454098395e-18j)
225,angl_right_hips_mov_kurtosisFreq,(301.029503276849-3.8637078019380554e-17j),(300.924602000673+6.675522721128001e-18j),(300.9464176665621-1.0464896040802361e-17j),(294.91595798400857+1.4508189431002336e-17j),(301.18664145752905+1.3684287281173967e-17j),(300.949450620865-9.266708710808856e-17j),(295.0375927187138+2.220056954949842e-17j),(294.99787002882385-6.2181962986496e-17j)
226,angl_right_hips_mov_median,(76.40627547264415+0j),(117.61026098971739+0j),(86.90596609678778+0j),(81.90573992731765+0j),(107.8433198431488+0j),(63.45623513878898+0j),(67.86884042392009+0j),(106.91275571484611+0j)
227,angl_right_hips_mov_peak_count,(37+0j),(35+0j),(48+0j),(50+0j),(42+0j),(40+0j),(53+0j),(38+0j)
228,angl_right_should_mov_mean,(38.92233997421764+0j),(36.63481152094277+0j),(26.582487638695557+0j),(25.749289331175824+0j),(14.566748177242522+0j),(12.220559418022663+0j),(32.87421659567847+0j),(11.248902537223433+0j)
229,angl_right_should_mov_var,(218.1163684081628+0j),(47.80114170264193+0j),(44.06024895813775+0j),(138.6927407707546+0j),(9.387761957946314+0j),(11.919485360640492+0j),(430.9657698520547+0j),(70.46869066400534+0j)
230,angl_right_should_mov_mad,(14.124802438544139+0j),(6.124675179168463+0j),(3.091536620487773+0j),(4.456675736075367+0j),(2.5563979383357616+0j),(0.9796756151628001+0j),(4.020598200557183+0j),(5.124252257826844+0j)
231,angl_right_should_mov_max,(69.39762207874409+0j),(50.31659683623988+0j),(53.58006826861395+0j),(66.68974443712123+0j),(21.667259425299285+0j),(23.237941428662584+0j),(102.31149452879868+0j),(33.98863838762332+0j)
232,angl_right_should_mov_min,(18.487512742240742+0j),(24.01489958360563+0j),(19.98560739751328+0j),(12.949144057130454+0j),(6.246622430279274+0j),(8.421424798132023+0j),(15.84105724904518+0j),(0.0010659736368696+0j)
233,angl_right_should_mov_sma,(38.92233997421764+0j),(36.63481152094277+0j),(26.582487638695557+0j),(25.749289331175824+0j),(14.566748177242522+0j),(12.220559418022663+0j),(32.87421659567847+0j),(11.248902537223433+0j)
234,angl_right_should_mov_energy,(1733.0649174767436+0j),(1389.9105568776429+0j),(750.6888980195397+0j),(801.7186418313597+0j),(221.57791441714463+0j),(161.2615578500629+0j),(1511.6798866316367+0j),(197.00649895595717+0j)
235,angl_right_should_mov_iqr,(29.0654740145965+0j),(12.069281606879212+0j),(8.793313965040724+0j),(16.845797252931582+0j),(5.180329835718311+0j),(3.4272537463221457+0j),(9.914369041467335+0j),(11.045371336352005+0j)
236,angl_right_should_mov_entropy,(5.651190306951128+0j),(5.705559057334446+0j),(5.695843160829135+0j),(5.6118826595688205+0j),(5.701335733579127+0j),(5.688000310671622+0j),(5.552087189650351+0j),(5.437233063083481+0j)
237,angl_right_should_mov_correlation,(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j),(1+0j)
238,angl_right_should_mov_kurtosis,(-1.36420471361913+0j),(-1.2780890144396309+0j),(4.669049185634016+0j),(1.6088656272161312+0j),(-0.5679643595853299+0j),(2.133229233074183+0j),(3.528911890957054+0j),(0.6763814857703845+0j)
239,angl_right_should_mov_skewness,(0.25055760380173014+0j),(-0.025196065162920528+0j),(1.9620767342297634+0j),(1.432376663497376+0j),(0.18738483230552141+0j),(1.6568850779683146+0j),(2.1745354397653687+0j),(1.092124227379434+0j)
240,angl_right_should_mov_maxFreqCompInd,0j,0j,0j,0j,0j,0j,0j,0j
241,angl_right_should_mov_maxFreqComp,(11910.236032110599-0j),(11210.252325408488-0j),(8134.24121744084-0j),(7724.786799352746-0j),(4457.424942236211-0j),(3739.4911819149356-0j),(9862.264978703543-0j),(3374.67076116703-0j)
242,angl_right_should_mov_meanFreq,(65.95549261831084+0j),(26.04873183551158+5.572884202040001e-16j),(21.98424221711535-3.7152561346933344e-16j),(17.0749378158785-7.579122514774402e-16j),(10.374507721920322-7.430512269386669e-16j),(13.361468386522755+0j),(15.841057249045184+0j),(2.519739829747817+0j)
243,angl_right_should_mov_skewnessFreq,(17.257566416367325+0j),(17.542094951527254-7.661350955511872e-17j),(16.261595009397986-4.846902588494654e-17j),(13.339920565478048-2.290715986458378e-16j),(17.43134104557375+7.380361414657703e-18j),(18.225814656781374-5.651250374111114e-17j),(15.84346280387812+4.3110314808613703e-16j),(12.914536409794062-3.1184693175725144e-17j)
244,angl_right_should_mov_kurtosisFreq,(304.86725853744286+6.112007019388411e-17j),(304.2827938174545-1.7830564505921372e-15j),(275.8622724340474-8.945265480926627e-16j),(216.74783276252953-4.286458944926442e-15j),(301.37636324124605+2.026250897591386e-16j),(320.04211557715996-1.3045330098403907e-15j),(262.57459655497973+9.635102800761709e-15j),(210.276003205804+0j)
245,angl_right_should_mov_median,(38.077657934912764+0j),(35.774390656993965+0j),(24.186996305947623+0j),(20.059364833796288+0j),(14.38431661552556+0j),(10.700603364417562+0j),(24.422179922825542+0j),(9.19751313592472+0j)
246,angl_right_should_mov_peak_count,(25+0j),(23+0j),(32+0j),(28+0j),(26+0j),(28+0j),(21+0j),(26+0j)
