,angle
0,5.752386800835621
1,4.872054596583799
2,4.283938200691143
3,3.802314466085106
4,3.2726525245529583
5,2.955741866685233
6,2.8618296065416944
7,2.7721130833663987
8,2.8175166021286584
9,3.006958933435165
10,3.290458260749293
11,3.9404946772745304
12,4.091209279553985
13,4.395539020839694
14,5.0705626502694665
15,5.960262069431755
16,6.833900308428447
17,7.534779853297345
18,8.320382493947712
19,9.241684960994675
20,9.78673838710006
21,10.037692196487589
22,10.354185666278296
23,10.363381994075448
24,10.351062913928017
25,10.554941104596116
26,10.647378640250379
27,10.95238518327666
28,10.959301368434426
29,11.024194680245593
30,11.223785240765183
31,11.20822583015788
32,11.498783035387177
33,11.488885688840542
34,11.183137121857703
35,11.34783337257109
36,11.178481503828108
37,11.231229333904706
38,11.22354959387106
39,11.42128783399649
40,11.569802570758018
41,12.010672467902761
42,12.27133498399686
43,12.58191712059445
44,12.854427573016405
45,13.068372172611504
46,13.136697180813684
47,13.207248383006684
48,13.217420820308227
49,13.411970451481311
50,13.514988975029178
51,13.597724727356306
52,13.49422278118399
53,13.432812727817502
54,13.267116816797074
55,12.936120720741805
56,12.725269193106339
57,12.539861048769525
58,12.494340686924252
59,12.526993298535505
60,12.466052408467366
61,12.370046346040557
62,12.090114376684976
63,11.664658897164742
64,11.274995288724066
65,11.29463321909182
66,11.255570585926987
67,11.199145042282632
68,11.193762406740268
69,11.16628239637954
70,11.171123806851794
71,10.722886210507577
72,10.545443578900342
73,10.295484750314605
74,10.236166321065333
75,10.134115540367823
76,10.032302768737718
77,9.97104584279455
78,10.090414035451115
79,10.241769818988896
80,10.372331029070356
81,10.413556451954571
82,10.390473462121086
83,10.36124018095553
84,10.253674984058184
85,10.123871087024614
86,9.69159471594632
87,10.044846456395971
88,10.379864441339556
89,10.424336072429227
90,10.305758160363277
91,10.409589688282686
92,10.4549689222338
93,10.545193644364735
94,10.683578823859127
95,10.810700299663234
96,10.820947380030605
97,10.833169669203093
98,10.80902365627515
99,10.86284578448716
100,10.894281953445136
101,10.92518265399399
102,10.888393300341335
103,10.81950037301387
104,10.653203170054951
105,10.600455850610173
106,10.328613588712853
107,10.253658247007051
108,10.220607123032247
109,10.446394508985199
110,10.51886922522205
111,10.614376890136919
112,10.633559187661964
113,10.66318962499145
114,10.680270882840134
115,10.74891137866315
116,10.757159272669455
117,10.84612820309312
118,10.897075327590779
119,10.96333713553545
120,11.09184694028577
121,11.21049880707019
122,11.281420066006271
123,11.247866652301942
124,11.160795018153035
125,11.256224570824967
126,10.582010733477626
127,10.575788246475714
128,10.54714059437363
129,10.608842890100775
130,10.66363735210411
131,10.50368699686375
132,10.787471795710296
133,11.11592851981066
134,11.067171422818697
135,11.179291044480324
136,11.177252257066401
137,11.186817675001397
138,11.106030173935832
139,10.531957132096283
140,9.763038666469324
141,9.70788734275723
142,9.65440568320762
143,9.679978086942903
144,9.479300576685148
145,9.310442231800783
146,9.089545640066046
147,8.81577741765051
148,8.445693203443254
149,8.014145805762258
150,7.989545867279687
151,7.993637574070011
152,8.40271938163501
153,8.868950709121501
154,9.368912547302903
155,9.70952482212057
156,9.815007993391296
157,9.87082353161686
158,9.840743894291125
159,9.857958861173616
160,9.914639429392736
161,9.991834861276374
162,9.820904661300903
163,9.443354929914054
164,9.077876012677914
165,8.785489555287889
166,8.457704290580235
167,8.643247628617447
168,8.533627508445717
169,8.463015919233351
170,8.377535104453308
171,8.347965358325688
172,8.363459273385013
173,8.404659175169455
174,8.29983838738202
175,8.268646932106774
176,7.978744354797245
177,8.18683141281521
178,8.217570741841703
179,8.202164267979002
180,8.218624049558324
181,8.267815319069078
182,8.373005877515686
183,8.523550933214954
184,8.63105620576923
185,8.73785093768799
186,8.87049874182343
187,8.67949353230183
188,8.517844813912559
189,8.130292585810464
